mechanism,n_agents,seed,auction_idx,agent_idx,truthful_valuation,truthful_utility,best_misreport_bid,best_misreport_utility,regret
second_price,3,0,0,0,0.636962,0.367175,0.318481,0.367175,0.000000
second_price,3,0,0,1,0.269787,0.000000,0.067447,0.000000,0.000000
second_price,3,0,0,2,0.040974,0.000000,0.010243,0.000000,0.000000
weighted_aggregation,3,0,0,0,0.636962,0.282278,1.273923,0.382043,0.099765
weighted_aggregation,3,0,0,1,0.269787,0.080910,0.539573,0.096719,0.015809
weighted_aggregation,3,0,0,2,0.040974,0.008102,0.081947,0.008355,0.000253
second_price,3,0,1,0,0.943801,0.079023,0.943801,0.079023,0.000000
second_price,3,0,1,1,0.126817,0.000000,0.031704,0.000000,0.000000
second_price,3,0,1,2,0.864778,0.000000,0.216195,0.000000,0.000000
weighted_aggregation,3,0,1,0,0.943801,0.384220,1.887603,0.593528,0.209308
weighted_aggregation,3,0,1,1,0.126817,0.016690,0.253634,0.018480,0.001790
weighted_aggregation,3,0,1,2,0.864778,0.332513,1.729557,0.513747,0.181233
second_price,3,0,2,0,0.439229,0.000000,0.109807,0.000000,0.000000
second_price,3,0,2,1,0.588380,0.149151,0.441285,0.149151,0.000000
second_price,3,0,2,2,0.127358,0.000000,0.031840,0.000000,0.000000
weighted_aggregation,3,0,2,0,0.439229,0.148371,0.878458,0.193341,0.044970
weighted_aggregation,3,0,2,1,0.588380,0.233224,1.176760,0.317873,0.084649
weighted_aggregation,3,0,2,2,0.127358,0.029020,0.254717,0.031866,0.002846
second_price,3,0,3,0,0.815510,0.598443,0.407755,0.598443,0.000000
second_price,3,0,3,1,0.217067,0.000000,0.054267,0.000000,0.000000
second_price,3,0,3,2,0.075133,0.000000,0.018783,0.000000,0.000000
weighted_aggregation,3,0,3,0,0.815510,0.400515,1.631021,0.558173,0.157657
weighted_aggregation,3,0,3,1,0.217067,0.055995,0.434134,0.065277,0.009283
weighted_aggregation,3,0,3,2,0.075133,0.015170,0.150265,0.016059,0.000889
second_price,3,0,4,0,0.273731,0.000000,0.068433,0.000000,0.000000
second_price,3,0,4,1,0.938026,0.664295,0.469013,0.664295,0.000000
second_price,3,0,4,2,0.025233,0.000000,0.006308,0.000000,0.000000
weighted_aggregation,3,0,4,0,0.273731,0.072072,0.547462,0.087376,0.015303
weighted_aggregation,3,0,4,1,0.938026,0.487783,1.876053,0.687954,0.200171
weighted_aggregation,3,0,4,2,0.025233,0.001416,0.050466,0.001445,0.000028
second_price,3,0,5,0,0.270639,0.000000,0.067660,0.000000,0.000000
second_price,3,0,5,1,0.375642,0.000000,0.093911,0.000000,0.000000
second_price,3,0,5,2,0.940739,0.565096,0.470369,0.565096,0.000000
weighted_aggregation,3,0,5,0,0.270639,0.062531,0.541277,0.076145,0.013613
weighted_aggregation,3,0,5,1,0.375642,0.101083,0.751285,0.130866,0.029784
weighted_aggregation,3,0,5,2,0.940739,0.449495,1.881477,0.657684,0.208189
second_price,3,0,6,0,0.680761,0.000000,0.170190,0.000000,0.000000
second_price,3,0,6,1,0.767617,0.086856,0.767617,0.086856,0.000000
second_price,3,0,6,2,0.079552,0.000000,0.019888,0.000000,0.000000
weighted_aggregation,3,0,6,0,0.680761,0.251018,1.361522,0.362040,0.111022
weighted_aggregation,3,0,6,1,0.767617,0.307258,1.535234,0.448149,0.140891
weighted_aggregation,3,0,6,2,0.079552,0.010419,0.159103,0.011090,0.000672
second_price,3,0,7,0,0.017598,0.000000,0.004399,0.000000,0.000000
second_price,3,0,7,1,0.129821,0.000000,0.032455,0.000000,0.000000
second_price,3,0,7,2,0.259257,0.129436,0.194443,0.129436,0.000000
weighted_aggregation,3,0,7,0,0.017598,0.004281,0.035196,0.004335,0.000053
weighted_aggregation,3,0,7,1,0.129821,0.041641,0.259642,0.045340,0.003699
weighted_aggregation,3,0,7,2,0.259257,0.096799,0.518514,0.112904,0.016105
second_price,3,0,8,0,0.136186,0.000000,0.034047,0.000000,0.000000
second_price,3,0,8,1,0.794433,0.642803,0.198608,0.642803,0.000000
second_price,3,0,8,2,0.151630,0.000000,0.037907,0.000000,0.000000
weighted_aggregation,3,0,8,0,0.136186,0.031212,0.272372,0.034491,0.003279
weighted_aggregation,3,0,8,1,0.794433,0.387779,1.588866,0.538527,0.150747
weighted_aggregation,3,0,8,2,0.151630,0.035192,0.303259,0.039298,0.004106
second_price,3,0,9,0,0.265563,0.000000,0.066391,0.000000,0.000000
second_price,3,0,9,1,0.660496,0.000000,0.165124,0.000000,0.000000
second_price,3,0,9,2,0.759779,0.099283,0.759779,0.099283,0.000000
weighted_aggregation,3,0,9,0,0.265563,0.060365,0.531125,0.073317,0.012953
weighted_aggregation,3,0,9,1,0.660496,0.233774,1.320992,0.338509,0.104734
weighted_aggregation,3,0,9,2,0.759779,0.297629,1.519558,0.438111,0.140482
second_price,3,0,10,0,0.731631,0.000000,0.182908,0.000000,0.000000
second_price,3,0,10,1,0.753061,0.021430,0.753061,0.021430,0.000000
second_price,3,0,10,2,0.513019,0.000000,0.128255,0.000000,0.000000
weighted_aggregation,3,0,10,0,0.731631,0.250850,1.463262,0.377344,0.126494
weighted_aggregation,3,0,10,1,0.753061,0.269572,1.506122,0.407058,0.137487
weighted_aggregation,3,0,10,2,0.513019,0.139610,1.026038,0.195851,0.056241
second_price,3,0,11,0,0.691252,0.200557,0.518439,0.200557,0.000000
second_price,3,0,11,1,0.091425,0.000000,0.022856,0.000000,0.000000
second_price,3,0,11,2,0.490696,0.000000,0.122674,0.000000,0.000000
weighted_aggregation,3,0,11,0,0.691252,0.289542,1.382505,0.406792,0.117250
weighted_aggregation,3,0,11,1,0.091425,0.018233,0.182849,0.019545,0.001312
weighted_aggregation,3,0,11,2,0.490696,0.167475,0.981391,0.224421,0.056946
second_price,3,0,12,0,0.605026,0.000000,0.151257,0.000000,0.000000
second_price,3,0,12,1,0.869824,0.264798,0.652368,0.264798,0.000000
second_price,3,0,12,2,0.098619,0.000000,0.024655,0.000000,0.000000
