CPU monitoring started: 5s intervals
System info: 20 CPUs, 20 physical cores
Starting CPU utilization monitoring
CPU: 100.0%, Load: 162.6, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 195.4, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 224.5, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 237.8, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 260.4, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 278.5, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 304.2, Mem: 3.6%, Freq: 3354MHz
CPU: 100.0%, Load: 310.9, Mem: 3.6%, Freq: 3354MHz
CPU: 100.0%, Load: 322.1, Mem: 3.6%, Freq: 3354MHz
CPU: 100.0%, Load: 343.5, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 353.7, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 357.3, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 359.7, Mem: 3.6%, Freq: 3354MHz
CPU: 100.0%, Load: 370.2, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 374.7, Mem: 3.6%, Freq: 3354MHz
CPU: 100.0%, Load: 375.4, Mem: 3.6%, Freq: 3354MHz
CPU: 100.0%, Load: 375.1, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 374.9, Mem: 3.6%, Freq: 3354MHz
CPU: 100.0%, Load: 377.8, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 377.3, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 377.8, Mem: 3.6%, Freq: 3354MHz
CPU: 100.0%, Load: 377.4, Mem: 3.6%, Freq: 3354MHz
CPU: 100.0%, Load: 377.6, Mem: 3.6%, Freq: 3354MHz
CPU: 100.0%, Load: 377.2, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 382.1, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 382.9, Mem: 3.6%, Freq: 3354MHz
CPU: 100.0%, Load: 382.9, Mem: 3.5%, Freq: 3354MHz
CPU: 99.9%, Load: 384.0, Mem: 3.5%, Freq: 3354MHz
CPU: 99.9%, Load: 383.2, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 382.3, Mem: 3.6%, Freq: 3354MHz
CPU: 100.0%, Load: 384.3, Mem: 3.6%, Freq: 3354MHz
CPU: 100.0%, Load: 388.7, Mem: 3.6%, Freq: 3354MHz
CPU: 100.0%, Load: 388.3, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 387.6, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 388.3, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 388.3, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 388.4, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 387.7, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 388.3, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 388.0, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 389.2, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 389.1, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 392.4, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 393.5, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 392.8, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 393.3, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 392.7, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 392.3, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 393.4, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 393.5, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 393.4, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 392.3, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 391.6, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 390.5, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 390.8, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 390.7, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 390.2, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 388.7, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 388.3, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 387.5, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 387.9, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 387.1, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 386.2, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 385.9, Mem: 3.5%, Freq: 3354MHz
CPU: 100.0%, Load: 386.6, Mem: 3.5%, Freq: 3354MHz
CPU: 78.9%, Load: 386.4, Mem: 3.3%, Freq: 3354MHz
CPU monitoring stopped
