elapsedMs,GPU_OFFSET_MAX(FILTERED),OUTPUT_TOTAL_GPU(FILTERED),GPU_OFFSET_MAX_R(FILTERED),GPU_OFFSET_MAX(RAW),OUTPUT_TOTAL_GPU(RAW),GPU_OFFSET_MAX_R(RAW),GPU_AVG(FILTERED),OUTPUT_TOTAL_GPU(FILTERED),GPU_AVG_R(FILTERED),GPU_AVG(RAW),OUTPUT_TOTAL_GPU(RAW),GPU_AVG_R(RAW), CALCULATED_HOTSPOT_OFFSET
0,66.04,8467,5.706e-04,79.34,45167,3.747e-04,61.68,8467,3.409e-04,69.62,45167,2.238e-04, 4.36
1,67.24,12563,3.925e-04,79.34,77762,2.041e-04,62.40,12563,2.345e-04,69.62,77762,1.219e-04, 4.85
5,68.33,16370,3.529e-04,79.34,76983,2.064e-04,63.05,16370,2.108e-04,69.62,76983,1.233e-04, 5.28
6,69.32,19981,3.324e-04,79.34,77480,2.049e-04,63.64,19981,1.985e-04,69.62,77480,1.224e-04, 5.68
6,70.22,23421,3.184e-04,79.34,78181,2.029e-04,64.18,23421,1.902e-04,69.62,78181,1.212e-04, 6.05
7,71.04,26610,3.089e-04,79.34,77385,2.052e-04,64.67,26610,1.845e-04,69.62,77385,1.226e-04, 6.38
8,71.79,29714,2.999e-04,79.34,79126,2.003e-04,65.11,29714,1.791e-04,69.62,79126,1.197e-04, 6.68
9,72.47,32596,2.929e-04,79.34,78485,2.021e-04,65.52,32596,1.750e-04,69.62,78485,1.207e-04, 6.95
10,73.09,35318,2.868e-04,79.34,78642,2.017e-04,65.89,35318,1.713e-04,69.62,78642,1.205e-04, 7.20
11,73.65,37823,2.819e-04,79.34,77712,2.043e-04,66.23,37823,1.684e-04,69.62,77712,1.220e-04, 7.43
12,74.16,40252,2.768e-04,79.34,78920,2.009e-04,66.53,40252,1.654e-04,69.62,78920,1.200e-04, 7.63
13,74.63,42503,2.725e-04,79.34,78343,2.025e-04,66.82,42503,1.631e-04,69.75,78343,1.226e-04, 7.81
13,75.05,44590,2.687e-04,79.34,77821,2.040e-04,67.09,44590,1.611e-04,69.77,77821,1.239e-04, 7.97
14,75.44,46577,2.651e-04,79.34,78208,2.029e-04,67.33,46577,1.592e-04,69.77,78208,1.232e-04, 8.11
15,75.79,48394,2.620e-04,79.34,77316,2.054e-04,67.55,48394,1.576e-04,69.77,77316,1.248e-04, 8.24
16,76.11,50114,2.590e-04,79.34,77504,2.049e-04,67.75,50114,1.559e-04,69.77,77504,1.245e-04, 8.36
16,76.40,51803,2.558e-04,79.34,78693,2.015e-04,67.93,51803,1.542e-04,69.77,78693,1.224e-04, 8.47
17,76.67,53269,2.535e-04,79.34,76611,2.075e-04,68.10,53269,1.529e-04,69.77,76611,1.260e-04, 8.57
18,76.91,54696,2.510e-04,79.34,77419,2.051e-04,68.26,54696,1.517e-04,69.89,77419,1.263e-04, 8.65
18,77.21,56081,2.501e-04,80.31,78118,2.166e-04,68.44,56081,1.511e-04,70.25,78118,1.300e-04, 8.78
19,77.59,57323,2.514e-04,81.38,77107,2.347e-04,68.64,57323,1.514e-04,70.69,77107,1.380e-04, 8.95
20,77.93,58588,2.518e-04,81.38,78718,2.294e-04,68.83,58588,1.514e-04,70.77,78718,1.362e-04, 9.10
21,78.24,59754,2.521e-04,81.38,78323,2.307e-04,69.01,59754,1.514e-04,70.77,78323,1.369e-04, 9.23
24,78.52,60871,2.521e-04,81.38,78659,2.296e-04,69.17,60871,1.512e-04,70.77,78659,1.363e-04, 9.36
25,78.78,61904,2.521e-04,81.38,78340,2.306e-04,69.31,61904,1.510e-04,70.77,78340,1.369e-04, 9.47
30,79.01,62887,2.518e-04,81.38,78536,2.300e-04,69.44,62887,1.507e-04,70.77,78536,1.365e-04, 9.57
32,79.23,63757,2.517e-04,81.38,77615,2.330e-04,69.56,63757,1.505e-04,70.77,77615,1.383e-04, 9.66
33,79.42,64646,2.512e-04,81.38,78800,2.292e-04,69.67,64646,1.501e-04,70.77,78800,1.360e-04, 9.75
33,79.59,65404,2.510e-04,81.38,77471,2.335e-04,69.77,65404,1.499e-04,70.80,77471,1.390e-04, 9.82
34,79.75,66217,2.502e-04,81.38,79154,2.281e-04,69.87,66217,1.494e-04,70.83,79154,1.362e-04, 9.89
35,79.90,66935,2.497e-04,81.38,78377,2.305e-04,69.95,66935,1.491e-04,70.83,78377,1.376e-04, 9.95
36,80.03,67551,2.493e-04,81.38,77364,2.338e-04,70.03,67551,1.489e-04,70.83,77364,1.396e-04, 10.00
36,80.15,68233,2.485e-04,81.38,79076,2.283e-04,70.11,68233,1.484e-04,70.83,79076,1.363e-04, 10.05
37,80.26,68877,2.477e-04,81.38,79145,2.281e-04,70.17,68877,1.479e-04,70.83,79145,1.362e-04, 10.09
38,80.36,69389,2.473e-04,81.38,77527,2.333e-04,70.23,69389,1.477e-04,70.83,77527,1.393e-04, 10.13
38,80.45,69898,2.468e-04,81.38,78011,2.317e-04,70.28,69898,1.473e-04,70.83,78011,1.383e-04, 10.17
39,80.54,70417,2.461e-04,81.38,78677,2.296e-04,70.35,70417,1.472e-04,71.04,78677,1.399e-04, 10.19
40,80.67,70910,2.462e-04,81.97,78756,2.375e-04,70.44,70910,1.474e-04,71.33,78756,1.438e-04, 10.23
40,80.78,71333,2.464e-04,81.97,78070,2.398e-04,70.54,71333,1.480e-04,71.51,78070,1.476e-04, 10.25
41,80.89,71700,2.466e-04,81.97,77547,2.415e-04,70.62,71700,1.485e-04,71.51,77547,1.487e-04, 10.27
43,80.99,72075,2.467e-04,81.97,78052,2.398e-04,70.70,72075,1.488e-04,71.51,78052,1.476e-04, 10.28
43,81.08,72393,2.468e-04,81.97,77443,2.419e-04,70.78,72393,1.492e-04,71.51,77443,1.489e-04, 10.30
44,81.16,72851,2.463e-04,81.97,80151,2.330e-04,70.84,72851,1.492e-04,71.51,80151,1.434e-04, 10.31
45,81.23,73218,2.461e-04,81.97,79057,2.365e-04,70.90,73218,1.492e-04,71.51,79057,1.456e-04, 10.33
45,81.30,73470,2.462e-04,81.97,77483,2.417e-04,70.96,73470,1.495e-04,71.51,77483,1.488e-04, 10.34
46,81.36,73777,2.459e-04,81.97,78664,2.378e-04,71.01,73777,1.495e-04,71.51,78664,1.464e-04, 10.35
47,81.41,74039,2.458e-04,81.97,78211,2.393e-04,71.05,74039,1.496e-04,71.51,78211,1.473e-04, 10.36
48,81.46,74228,2.458e-04,81.97,77240,2.426e-04,71.09,74228,1.498e-04,71.51,77240,1.493e-04, 10.37
48,81.51,74457,2.457e-04,81.97,78097,2.397e-04,71.13,74457,1.499e-04,71.51,78097,1.475e-04, 10.38
49,81.55,74692,2.455e-04,81.97,78433,2.386e-04,71.16,74692,1.499e-04,71.51,78433,1.469e-04, 10.39
50,81.59,74854,2.454e-04,81.97,77441,2.419e-04,71.19,74854,1.500e-04,71.51,77441,1.489e-04, 10.39
50,81.62,75038,2.453e-04,81.97,77968,2.401e-04,71.22,75038,1.500e-04,71.51,77968,1.478e-04, 10.40
51,81.65,75169,2.453e-04,81.97,77252,2.425e-04,71.25,75169,1.500e-04,71.51,77252,1.493e-04, 10.40
52,81.68,75372,2.450e-04,81.97,78598,2.380e-04,71.27,75372,1.499e-04,71.51,78598,1.465e-04, 10.41
53,81.71,75553,2.447e-04,81.97,78439,2.385e-04,71.29,75553,1.499e-04,71.51,78439,1.468e-04, 10.41
53,81.73,75671,2.446e-04,81.97,77558,2.415e-04,71.31,75671,1.499e-04,71.51,77558,1.487e-04, 10.42
55,81.75,75823,2.444e-04,81.97,78245,2.392e-04,71.34,75823,1.499e-04,71.57,78245,1.481e-04, 10.42
55,81.77,75891,2.444e-04,81.97,76975,2.435e-04,71.36,75891,1.500e-04,71.57,76975,1.507e-04, 10.42
