timestamp,max_thermal_zone_mC
2026-08-27T10:56:05+01:00,79300
2026-08-27T10:56:20+01:00,81100
2026-08-27T10:56:35+01:00,76700
2026-08-27T10:56:50+01:00,76700
2026-08-27T10:57:05+01:00,77200
2026-08-27T10:57:20+01:00,79400
2026-08-27T10:57:35+01:00,84800
2026-08-27T10:57:50+01:00,74300
2026-08-27T10:58:05+01:00,83700
2026-08-27T10:58:20+01:00,90600
2026-08-27T10:58:35+01:00,90900
2026-08-27T10:58:50+01:00,89800
2026-08-27T10:59:05+01:00,89700
2026-08-27T10:59:20+01:00,83100
2026-08-27T10:59:35+01:00,86300
2026-08-27T10:59:50+01:00,89700
2026-08-27T11:00:05+01:00,83600
2026-08-27T11:00:20+01:00,83700
2026-08-27T11:00:35+01:00,83800
2026-08-27T11:00:50+01:00,82600
2026-08-27T11:01:05+01:00,89700
2026-08-27T11:01:20+01:00,89400
2026-08-27T11:01:35+01:00,89800
2026-08-27T11:01:50+01:00,93700
2026-08-27T11:02:05+01:00,94800
2026-08-27T11:02:20+01:00,92700
2026-08-27T11:02:35+01:00,86200
2026-08-27T11:02:50+01:00,85500
2026-08-27T11:03:05+01:00,84900
2026-08-27T11:03:20+01:00,86300
2026-08-27T11:03:36+01:00,88500
2026-08-27T11:03:51+01:00,79400
2026-08-27T11:04:06+01:00,71500
2026-08-27T11:04:21+01:00,90800
2026-08-27T11:04:36+01:00,75300
2026-08-27T11:04:51+01:00,78700
2026-08-27T11:05:06+01:00,75000
2026-08-27T11:05:21+01:00,75000
2026-08-27T11:05:36+01:00,72200
2026-08-27T11:05:51+01:00,70600
2026-08-27T11:06:06+01:00,69500
2026-08-27T11:06:21+01:00,68900
2026-08-27T11:06:36+01:00,70100
2026-08-27T11:06:51+01:00,71000
2026-08-27T11:07:06+01:00,71600
2026-08-27T11:07:21+01:00,71700
2026-08-27T11:07:36+01:00,71200
2026-08-27T11:07:51+01:00,71100
2026-08-27T11:08:06+01:00,71100
2026-08-27T11:08:21+01:00,71100
2026-08-27T11:08:36+01:00,71100
2026-08-27T11:08:51+01:00,71100
2026-08-27T11:09:06+01:00,71100
2026-08-27T11:09:21+01:00,70600
2026-08-27T11:09:36+01:00,69900
2026-08-27T11:09:51+01:00,69700
2026-08-27T11:10:06+01:00,69700
2026-08-27T11:10:21+01:00,69300
2026-08-27T11:10:36+01:00,69000
2026-08-27T11:10:51+01:00,67900
2026-08-27T11:11:06+01:00,67800
2026-08-27T11:11:21+01:00,67500
2026-08-27T11:11:36+01:00,66900
2026-08-27T11:11:51+01:00,57300
2026-08-27T11:12:06+01:00,50800
2026-08-27T11:12:21+01:00,49900
2026-08-27T11:12:36+01:00,49800
2026-08-27T11:12:51+01:00,49000
2026-08-27T11:13:06+01:00,48800
2026-08-27T11:13:21+01:00,55100
2026-08-27T11:13:36+01:00,55600
2026-08-27T11:13:51+01:00,65600
2026-08-27T11:14:06+01:00,52000
2026-08-27T11:14:21+01:00,50800
2026-08-27T11:14:36+01:00,50700
2026-08-27T11:14:51+01:00,49800
2026-08-27T11:15:06+01:00,49800
2026-08-27T11:15:21+01:00,49800
2026-08-27T11:15:36+01:00,49700
2026-08-27T11:15:51+01:00,48800
2026-08-27T11:16:06+01:00,48800
2026-08-27T11:16:21+01:00,48800
2026-08-27T11:16:36+01:00,48800
2026-08-27T11:16:51+01:00,48800
2026-08-27T11:17:06+01:00,48800
2026-08-27T11:17:21+01:00,48800
2026-08-27T11:17:37+01:00,48500
2026-08-27T11:17:52+01:00,48500
2026-08-27T11:18:07+01:00,48000
2026-08-27T11:18:22+01:00,47900
2026-08-27T11:18:37+01:00,47800
2026-08-27T11:18:52+01:00,47800
2026-08-27T11:19:07+01:00,47800
2026-08-27T11:19:22+01:00,47800
2026-08-27T11:19:37+01:00,47800
2026-08-27T11:19:52+01:00,47800
2026-08-27T11:20:07+01:00,47800
2026-08-27T11:20:22+01:00,47800
2026-08-27T11:20:37+01:00,47800
2026-08-27T11:20:52+01:00,47800
2026-08-27T11:21:07+01:00,47700
2026-08-27T11:21:22+01:00,47500
2026-08-27T11:21:37+01:00,47300
2026-08-27T11:21:52+01:00,47100
