0 docs, 0.0M tokens
2000 docs, 2.2M tokens
4000 docs, 4.2M tokens
6000 docs, 6.4M tokens
8000 docs, 8.3M tokens
10000 docs, 10.3M tokens
12000 docs, 12.3M tokens
14000 docs, 14.2M tokens
16000 docs, 16.3M tokens
18000 docs, 18.4M tokens
20000 docs, 20.7M tokens
22000 docs, 23.2M tokens
24000 docs, 25.5M tokens
26000 docs, 27.7M tokens
28000 docs, 29.9M tokens
30000 docs, 31.9M tokens
32000 docs, 33.8M tokens
34000 docs, 35.8M tokens
36000 docs, 37.8M tokens
38000 docs, 39.7M tokens
40000 docs, 41.7M tokens
42000 docs, 43.8M tokens
44000 docs, 45.9M tokens
46000 docs, 48.1M tokens
48000 docs, 50.3M tokens
50000 docs, 52.5M tokens
52000 docs, 54.6M tokens
